Date,Net_Asset,Share_Issued,AHP,CAC_40,CAC40_Adjusted
8/22/19,300.00,3.00,100.00,100.00,100.00
8/23/19,291.37,3.00,97.12,98.86,99.38
8/26/19,192.49,1.97,97.69,99.31,99.75
8/27/19,191.15,1.97,97.01,99.98,100.31
8/28/19,190.81,1.97,96.84,99.64,100.03
8/29/19,193.75,1.97,98.33,101.15,101.29
8/30/19,194.81,1.97,98.87,101.71,101.76
9/2/19,194.79,1.97,98.86,101.94,101.96
9/3/19,193.45,1.97,98.18,101.44,101.54
9/4/19,195.59,1.97,99.27,102.67,102.57
9/5/19,200.79,1.97,101.90,103.81,103.52
9/6/19,200.35,1.97,101.68,104.00,103.69
9/9/19,205.51,1.97,104.30,103.72,103.45
9/10/19,209.01,1.97,106.08,103.80,103.52
9/11/19,210.03,1.97,106.59,104.27,103.91
9/12/19,209.39,1.97,106.27,104.73,104.29
9/13/19,212.61,1.97,107.90,104.96,104.49
9/16/19,209.97,1.97,106.56,103.97,103.66
9/17/19,207.77,1.97,105.45,104.22,103.87
9/18/19,207.81,1.97,105.47,104.31,103.95
9/19/19,213.27,1.97,108.24,105.03,104.55
9/20/19,214.49,1.97,108.86,105.61,105.05
9/23/19,177.32,1.68,105.86,104.50,103.94
9/24/19,174.82,1.68,104.37,104.46,103.90
9/25/19,174.98,1.68,104.46,103.63,103.07
9/26/19,175.06,1.68,104.51,104.31,103.75
9/27/19,175.24,1.68,104.62,104.68,104.12
9/30/19,176.66,1.68,105.47,105.37,104.81
10/1/19,173.62,1.68,103.65,103.89,103.33
10/2/19,166.52,1.68,99.41,100.64,100.10
10/3/19,164.30,1.68,98.09,100.94,100.40
10/4/19,164.56,1.68,98.24,101.86,101.31
10/7/19,165.04,1.68,98.53,102.48,101.93
10/8/19,161.42,1.68,96.37,101.27,100.73
10/9/19,162.40,1.68,96.95,102.06,101.51
10/10/19,167.10,1.68,99.76,103.36,102.80
10/11/19,176.62,1.68,105.44,105.15,104.58
10/14/19,177.10,1.68,105.73,104.73,104.17
10/15/19,180.54,1.68,107.78,105.82,105.26
10/16/19,182.28,1.68,108.82,105.73,105.16
10/17/19,183.38,1.68,109.48,105.29,104.72
10/18/19,183.40,1.68,109.49,104.60,104.04
10/21/19,187.34,1.68,111.84,104.83,104.27
10/22/19,186.80,1.68,111.52,105.00,104.44
10/23/19,187.34,1.68,111.84,104.92,104.36
10/24/19,186.14,1.68,111.13,105.49,104.93
10/25/19,187.24,1.68,111.78,106.20,105.63
10/28/19,187.82,1.68,112.13,106.35,105.78
10/29/19,3180.71,28.33,112.28,106.53,105.90
10/30/19,3159.62,28.33,111.54,107.01,106.26
10/31/19,3101.34,28.33,109.48,106.34,105.76
11/1/19,3131.96,28.33,110.56,106.93,106.21
11/4/19,5078.88,45.51,111.60,108.09,106.86
11/5/19,5099.56,45.51,112.06,108.51,107.09
11/6/19,5149.11,45.51,113.15,108.88,107.33
11/7/19,5162.03,45.51,113.43,109.33,107.63
11/8/19,5160.37,45.51,113.39,109.31,107.61
11/11/19,5078.91,45.51,111.60,109.38,107.66
11/12/19,5115.41,45.51,112.41,109.86,107.98
11/13/19,5094.03,45.51,111.94,109.63,107.83
11/14/19,5071.75,45.51,111.45,109.52,107.75
11/15/19,4369.48,39.10,111.76,110.23,108.29
11/18/19,4386.22,39.10,112.19,110.05,108.16
11/19/19,4351.09,39.10,111.29,109.67,107.78
11/20/19,4348.17,39.10,111.21,109.39,107.51
11/21/19,4926.89,44.50,110.72,109.15,107.28
11/22/19,5031.44,45.35,110.96,109.37,107.48
